"default_profile","default_profile_image","tweets_like_by_user","followers_count","geo_enabled","verified","account_age_days","account_type","has_description","has_lang","has_background_image_url"
"TRUE","FALSE",63716,1477,"TRUE","FALSE",2213,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",1260,6,"FALSE","FALSE",3654,"bot","TRUE","TRUE","TRUE"
"FALSE","FALSE",3257,53547,"TRUE","TRUE",2329,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",1,171,"FALSE","FALSE",1985,"bot","TRUE","TRUE","TRUE"
"FALSE","FALSE",68230,5140,"TRUE","FALSE",2760,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",221,449106,"TRUE","TRUE",3674,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",16893,1290,"TRUE","FALSE",3379,"human","TRUE","FALSE","TRUE"
"FALSE","FALSE",1494,292,"TRUE","FALSE",3990,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",5030,748,"TRUE","FALSE",2588,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",57613,178618,"TRUE","TRUE",3281,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",585,64,"FALSE","FALSE",2543,"bot","FALSE","FALSE","TRUE"
"TRUE","FALSE",3123,338,"TRUE","FALSE",2318,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",1429,3,"FALSE","FALSE",3031,"bot","FALSE","FALSE","TRUE"
"TRUE","FALSE",6493,236,"TRUE","FALSE",2872,"bot","TRUE","TRUE","TRUE"
"TRUE","TRUE",3,11,"FALSE","FALSE",1954,"bot","FALSE","FALSE","TRUE"
"TRUE","FALSE",54,0,"FALSE","FALSE",1444,"human","TRUE","TRUE","FALSE"
"FALSE","FALSE",2411,117,"TRUE","FALSE",3351,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",29,0,"FALSE","FALSE",1271,"bot","TRUE","TRUE","FALSE"
"FALSE","FALSE",4922,438,"TRUE","FALSE",2539,"human","FALSE","FALSE","TRUE"
"FALSE","FALSE",3006,284,"TRUE","FALSE",3335,"bot","TRUE","TRUE","TRUE"
"TRUE","FALSE",120,1,"FALSE","FALSE",1118,"human","FALSE","FALSE","FALSE"
"FALSE","FALSE",162711,434,"FALSE","FALSE",3561,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",28751,200,"TRUE","FALSE",1649,"human","TRUE","TRUE","FALSE"
"TRUE","FALSE",319,0,"FALSE","FALSE",1107,"human","FALSE","FALSE","FALSE"
"FALSE","FALSE",0,15,"FALSE","FALSE",2565,"bot","FALSE","FALSE","TRUE"
"TRUE","FALSE",6,344912,"TRUE","FALSE",4157,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",2,156882,"FALSE","FALSE",3568,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",2080,82,"FALSE","FALSE",3494,"bot","TRUE","TRUE","TRUE"
"TRUE","FALSE",38,26,"FALSE","FALSE",1807,"bot","FALSE","FALSE","TRUE"
"FALSE","FALSE",4902,9175,"TRUE","TRUE",4267,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",1393,7636,"FALSE","FALSE",3355,"human","TRUE","TRUE","TRUE"
"TRUE","FALSE",253,18,"FALSE","FALSE",2824,"bot","TRUE","TRUE","TRUE"
"TRUE","FALSE",1466,40,"TRUE","FALSE",3394,"bot","FALSE","FALSE","TRUE"
"FALSE","FALSE",3501,162,"TRUE","FALSE",3126,"human","FALSE","FALSE","TRUE"
"TRUE","FALSE",5045,182,"TRUE","FALSE",4080,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",55411,349,"TRUE","FALSE",3301,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",1879,4223,"TRUE","TRUE",2780,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",3135,60,"FALSE","FALSE",4133,"human","TRUE","FALSE","TRUE"
"FALSE","FALSE",1022,72,"TRUE","FALSE",4732,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",1953,2631,"TRUE","FALSE",3373,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",9245,1981,"TRUE","FALSE",3561,"human","TRUE","TRUE","TRUE"
"FALSE","FALSE",22,223,"FALSE","FALSE",1153,"bot","TRUE","TRUE","TRUE"
"TRUE","FALSE",349,21,"FALSE","FALSE",2335,"bot","TRUE","TRUE","TRUE"
"TRUE","FALSE",1110,888158,"FALSE","FALSE",3151,"bot","TRUE","TRUE","TRUE"
"FALSE","FALSE",0,714,"FALSE","FALSE",3731,"bot","TRUE","TRUE","TRUE"
"TRUE","FALSE",37283,179,"TRUE","FALSE",2306,"human","TRUE","TRUE","TRUE"
